id,title,department,status,employment_type,description,requirements
j1,バックエンドエンジニア（Java）,エンジニアリング,募集中,正社員,金融・EC系の大規模システムを担当するバックエンドチームの中核メンバーを募集。マイクロサービスアーキテクチャの設計・実装から運用改善まで幅広くお任せします。,"Java（Spring Boot）実務経験3年以上,REST API設計・実装経験,RDBMSの設計・チューニング経験,Git/GitHubを用いたチーム開発経験"
j2,フロントエンドエンジニア,エンジニアリング,募集中,正社員,ユーザー体験を最優先に考えるフロントエンドエンジニアを募集。React/Next.jsを中心に、デザインチームと連携しながらプロダクトのUI/UXを磨いていただきます。,"React/Next.js 実務経験2年以上,TypeScript の実務使用経験,CSS（Tailwind CSS等）によるスタイリング経験,パフォーマンス最適化の知識"
j3,Webエンジニア（PHP）,エンジニアリング,停止,契約社員,自社メディアの新機能開発・保守を担当するWebエンジニアを募集（現在募集停止中）。LaravelベースのAPIサーバー開発が主な業務です。,"PHP（Laravel）実務経験2年以上,MySQL 設計・運用経験,Gitを用いた開発経験"
j4,バックエンドエンジニア（Python）,エンジニアリング,停止,正社員,機械学習基盤とAPI連携するバックエンドエンジニアを募集（現在募集停止中）。PythonによるAPI開発およびデータパイプライン構築をお任せします。,"Python 実務経験3年以上,FastAPI または Django REST Framework の使用経験,クラウド（AWS/GCP）でのインフラ構築経験"
j5,インフラエンジニア（Go/k8s）,インフラ,充足,正社員,Kubernetes を中心としたコンテナ基盤の設計・運用を担当するインフラエンジニアを募集（充足済み）。,"Kubernetes の本番運用経験,Go による運用ツール開発経験,CI/CD パイプライン構築経験,クラウドコスト最適化の経験"
j6,iOSエンジニア,モバイル,充足,正社員,自社iOSアプリの新機能開発・リファクタリングを担当するエンジニアを募集（充足済み）。Swift UIへの移行プロジェクトも推進中。,"Swift 実務経験3年以上,App Store へのリリース経験,SwiftUI または UIKit での開発経験,パフォーマンスチューニング経験"
j7,Androidエンジニア,モバイル,募集中,正社員,自社Androidアプリの新機能開発からリアーキテクチャまで幅広く担当するエンジニアを募集。Jetpack Compose への移行プロジェクトをリードしていただきます。,"Kotlin 実務経験3年以上,Google Play へのリリース経験,Jetpack Compose の使用経験優遇,MVVM/MVI アーキテクチャの理解"
j8,データアナリスト,データ,募集中,業務委託,事業データを活用して意思決定を支援するデータアナリストを業務委託で募集。BIダッシュボード構築とアドホック分析が主な業務です。,"SQL による複雑なクエリ作成経験,BIツール（Looker / Tableau 等）の使用経験,Python（pandas）によるデータ加工経験,ビジネス課題をデータで解決した実績"
j9,テックリード（Java）,エンジニアリング,停止,正社員,バックエンドチームの技術的なリードを担うテックリードを募集（現在募集停止中）。コードレビュー・アーキテクチャ設計・メンタリングを担当。,"Java 実務経験7年以上,チームリード・テックリード経験3年以上,システム設計・アーキテクチャ設計の経験,採用・メンタリング経験優遇"
j10,フルスタックエンジニア,エンジニアリング,募集中,業務委託,フロントエンド・バックエンドを横断して機能開発を担うフルスタックエンジニアを業務委託で募集。スモールチームで裁量を持って開発できます。,"React/Next.js 実務経験2年以上,Node.js または Python による API 開発経験,RDBMSの設計・実装経験,フルスタック開発の実績"
j11,Webエンジニア（Ruby）,エンジニアリング,停止,契約社員,Ruby on Railsで構築された社内管理ツールの保守・改善を担うエンジニアを募集（現在募集停止中）。,"Ruby on Rails 実務経験2年以上,RESTful API の設計・実装経験,PostgreSQL の使用経験"
